query,answer,retrieved_docs,user_feedback,clicked,created_at
订单超过7天还能退货吗,超过7天一般不能无理由退货，但如果存在质量问题，可以提交售后凭证申请审核。,退货政策：签收后7天内支持无理由退货；超过7天仅质量问题可走售后审核。,满意,1,2026-06-01 09:00:00
退款多久到账,退款审核通过后通常3到5个工作日原路返回，对公付款退款可能需要人工处理。,售后政策：退款审核通过后3-5个工作日原路返回；对公付款需人工处理。,满意,1,2026-06-01 09:12:00
换货需要重新支付运费吗,看情况。,换货政策：商品质量问题换货由平台承担运费；非质量问题换货由用户承担寄回运费。,不满意,0,2026-06-01 09:24:00
售后电话是多少,售后客服电话是400-800-1234，服务时间为工作日9:00到18:00。,售后服务：客服电话400-800-1234，工作日9:00-18:00提供人工服务。,满意,1,2026-06-01 09:36:00
企业版多少钱一个月,企业版基础包每月299元起，包含10个账号，额外账号按阶梯价格计费。,价格说明：企业版基础包299元/月，包含10个账号；额外账号按阶梯价格计费。,满意,1,2026-06-01 09:48:00
套餐可以按年购买吗,年付套餐支持购买，并且通常会有折扣，具体价格以费用中心显示为准。,价格说明：专业版和企业版支持月付、年付；年付可享受折扣。,满意,1,2026-06-01 10:00:00
试用版能用多久,试用版可以使用14天，包含基础搜索和知识库功能。,价格费用：新用户试用期14天，开放基础搜索、知识库和少量分析能力。,满意,1,2026-06-01 10:12:00
怎么关闭自动续费,请联系销售。,订阅管理：自动续费可在费用中心-订阅管理关闭，不影响当前已购买周期。,不满意,0,2026-06-01 10:24:00
忘记密码怎么重置,可以。,账号帮助：在登录页点击忘记密码，通过手机号或邮箱验证码重置密码。,不满意,0,2026-06-01 10:36:00
登录验证码一直收不到,建议先检查手机号是否正确、短信是否被拦截。如果多次失败，可以改用邮箱验证码或联系管理员重置绑定方式。,账号登录：验证码可能受手机号错误、短信拦截、发送频率限制影响；可使用邮箱验证替代。,满意,1,2026-06-01 10:48:00
如何开通子账号权限,管理员可以在成员管理中创建子账号，并在角色权限里分配查看、导出和审批权限。,权限管理：管理员进入成员管理，创建子账号后绑定角色并分配权限。,满意,1,2026-06-01 11:00:00
管理员离职了怎么转移权限,可以。,账号权限：超级管理员离职时，可由企业认证主体提交工单，完成管理员身份转移。,不满意,0,2026-06-01 11:12:00
API限流规则是什么,退款会在3到5个工作日原路返回，请耐心等待。,技术文档：API默认每分钟600次请求，超过限制返回429；企业版可申请更高配额。,满意,0,2026-06-01 11:24:00
接口返回500应该怎么排查,请联系管理员。,技术排查：接口返回500时先查看服务日志、请求参数、鉴权状态和最近发布记录。,不满意,0,2026-06-01 11:36:00
部署后无法运行怎么办,可先检查环境变量、依赖版本、服务端口和启动日志，再根据错误堆栈定位。,部署排查：无法运行通常与环境变量缺失、依赖版本冲突、端口占用和启动命令错误有关。,满意,1,2026-06-01 11:48:00
